Game ID,Date,Offense Name,Offense ID,Offense Games Played,Offense Home,Offense AVG,Offense OBP,Offense SLG,Offense OPS,Offense Runs,Defense Name,Defense ID,Defense Games Played,Pitcher Name,Pitcher ID,Pitcher Starts,Pitcher ERA,Pitcher WHIP,Pitcher Innings,Pitcher Strikeouts,Pitcher Runs
718765,3/31/2023,Los Angeles Dodgers,119,2,True,0.262,0.388,0.4,0.788,1,Arizona Diamondbacks,109,2,Merrill Kelly,518876,1,0.0,1.91,3.2,4,0
718763,3/31/2023,Cleveland Guardians,114,2,False,0.243,0.316,0.286,0.602,9,Seattle Mariners,136,2,Robbie Ray,592662,1,8.1,2.7,3.1,3,5
718763,3/31/2023,Seattle Mariners,136,2,True,0.219,0.286,0.359,0.645,4,Cleveland Guardians,114,2,Hunter Gaddis,683769,1,9.82,1.64,3.2,4,4
718764,3/31/2023,Chicago White Sox,145,2,False,0.293,0.329,0.413,0.742,3,Houston Astros,117,2,Cristian Javier,664299,1,5.4,1.8,5.0,6,3
718764,3/31/2023,Houston Astros,117,2,True,0.19,0.319,0.31,0.629,6,Chicago White Sox,145,2,Lance Lynn,458681,1,3.18,1.24,5.2,6,2
718758,4/1/2023,Milwaukee Brewers,158,2,False,0.164,0.271,0.18,0.451,3,Chicago Cubs,112,2,Justin Steele,657006,1,0.0,0.67,6.0,8,0
718758,4/1/2023,Chicago Cubs,112,2,True,0.18,0.254,0.246,0.5,1,Milwaukee Brewers,158,2,Brandon Woodruff,605540,1,1.5,0.67,6.0,8,1
718751,4/1/2023,Minnesota Twins,142,2,False,0.235,0.293,0.279,0.572,2,Kansas City Royals,118,2,Jordan Lyles,543475,1,1.69,1.31,5.1,2,2
718751,4/1/2023,Kansas City Royals,118,2,True,0.105,0.25,0.14,0.39,0,Minnesota Twins,142,2,Sonny Gray,543243,1,0.0,1.4,5.0,1,0
718756,4/1/2023,Pittsburgh Pirates,134,2,False,0.203,0.316,0.281,0.597,2,Cincinnati Reds,113,2,Nick Lodolo,666157,1,3.6,1.8,5.0,9,2
718756,4/1/2023,Cincinnati Reds,113,2,True,0.206,0.306,0.46,0.766,6,Pittsburgh Pirates,134,2,Rich Hill,448179,1,5.4,1.0,5.0,7,3
718759,4/1/2023,Toronto Blue Jays,141,2,False,0.306,0.416,0.347,0.763,1,St. Louis Cardinals,138,2,Jack Flaherty,656427,1,0.0,1.4,5.0,4,0
718759,4/1/2023,St. Louis Cardinals,138,2,True,0.338,0.402,0.446,0.848,4,Toronto Blue Jays,141,2,Kevin Gausman,592332,1,0.0,1.5,6.0,7,3
718749,4/1/2023,Arizona Diamondbacks,109,3,False,0.17,0.186,0.287,0.473,1,Los Angeles Dodgers,119,3,Clayton Kershaw,477132,1,1.5,0.67,6.0,9,1
718749,4/1/2023,Los Angeles Dodgers,119,3,True,0.263,0.385,0.505,0.89,10,Arizona Diamondbacks,109,3,Madison Bumgarner,518516,1,11.25,2.0,4.0,2,5
718753,4/1/2023,Atlanta Braves,144,2,False,0.307,0.373,0.493,0.866,7,Washington Nationals,120,2,Josiah Gray,680686,1,9.0,1.8,5.0,4,5
718753,4/1/2023,Washington Nationals,120,2,True,0.206,0.282,0.286,0.568,1,Atlanta Braves,144,2,Spencer Strider,675911,1,0.0,1.0,6.0,9,0
718746,4/1/2023,Cleveland Guardians,114,3,False,0.216,0.289,0.304,0.593,2,Seattle Mariners,136,3,Logan Gilbert,669302,1,1.5,0.83,6.0,7,1
718746,4/1/2023,Seattle Mariners,136,3,True,0.183,0.248,0.29,0.538,0,Cleveland Guardians,114,3,Aaron Civale,650644,1,0.0,0.43,7.0,3,0
718757,4/1/2023,Los Angeles Angels,108,2,False,0.239,0.329,0.313,0.642,13,Oakland Athletics,133,2,Shintaro Fujinami,660261,1,30.86,3.43,2.1,4,8
718757,4/1/2023,Oakland Athletics,133,2,True,0.186,0.273,0.271,0.544,1,Los Angeles Angels,108,2,Patrick Sandoval,663776,1,1.8,0.8,5.0,2,1
718762,4/1/2023,San Francisco Giants,137,2,False,0.232,0.312,0.362,0.674,7,New York Yankees,147,2,Clarke Schmidt,657376,1,8.1,1.8,3.1,5,3
718762,4/1/2023,New York Yankees,147,2,True,0.261,0.311,0.464,0.775,5,San Francisco Giants,137,2,Alex Cobb,502171,1,2.45,1.36,3.2,6,2
718760,4/1/2023,Chicago White Sox,145,3,False,0.286,0.333,0.42,0.753,4,Houston Astros,117,3,Jose Urquidy,664353,1,6.75,2.0,4.0,5,3
718760,4/1/2023,Houston Astros,117,3,True,0.234,0.345,0.319,0.664,6,Chicago White Sox,145,3,Lucas Giolito,608337,1,3.6,1.2,5.0,6,3
718754,4/1/2023,Detroit Tigers,116,2,False,0.182,0.239,0.242,0.481,2,Tampa Bay Rays,139,2,Zach Eflin,621107,1,1.8,0.8,5.0,5,1
718754,4/1/2023,Tampa Bay Rays,139,2,True,0.292,0.403,0.538,0.941,12,Detroit Tigers,116,2,Spencer Turnbull,605513,1,27.0,4.71,2.1,3,7
718755,4/1/2023,New York Mets,121,3,False,0.242,0.339,0.374,0.713,6,Miami Marlins,146,3,Edward Cabrera,665795,1,4.5,2.0,4.0,2,2
718755,4/1/2023,Miami Marlins,146,3,True,0.255,0.298,0.449,0.747,2,New York Mets,121,3,Tylor Megill,656731,1,3.6,1.6,5.0,7,2
718752,4/1/2023,Philadelphia Phillies,143,2,False,0.288,0.333,0.548,0.881,3,Texas Rangers,140,2,Nathan Eovaldi,543135,1,5.4,1.6,5.0,6,3
718752,4/1/2023,Texas Rangers,140,2,True,0.375,0.455,0.625,1.08,16,Philadelphia Phillies,143,2,Zack Wheeler,554430,1,8.31,1.85,4.1,7,5
718750,4/1/2023,Colorado Rockies,115,3,False,0.291,0.345,0.5,0.845,4,San Diego Padres,135,3,Michael Wacha,608379,1,6.0,1.5,6.0,2,4
718750,4/1/2023,San Diego Padres,135,3,True,0.237,0.308,0.355,0.663,8,Colorado Rockies,115,3,Jose Urena,570632,1,15.43,3.86,2.1,0,4
718761,4/1/2023,Baltimore Orioles,110,2,False,0.368,0.473,0.658,1.131,8,Boston Red Sox,111,2,Chris Sale,519242,1,21.0,3.0,3.0,6,7
718761,4/1/2023,Boston Red Sox,111,2,True,0.306,0.378,0.597,0.975,9,Baltimore Orioles,110,2,Dean Kremer,665152,1,15.0,2.33,3.0,3,5
718742,4/2/2023,Detroit Tigers,116,3,False,0.147,0.198,0.221,0.419,1,Tampa Bay Rays,139,3,Jeffrey Springs,605488,1,0.0,0.17,6.0,12,0
718742,4/2/2023,Tampa Bay Rays,139,3,True,0.278,0.375,0.495,0.87,5,Detroit Tigers,116,3,Joey Wentz,666214,1,5.06,0.94,5.1,3,3
718734,4/2/2023,Los Angeles Angels,108,3,False,0.26,0.336,0.404,0.74,6,Oakland Athletics,133,3,Ken Waldichuk,686610,1,9.53,1.76,5.2,4,6
718734,4/2/2023,Oakland Athletics,133,3,True,0.178,0.267,0.244,0.511,0,Los Angeles Angels,108,3,Tyler Anderson,542881,1,0.0,1.0,6.0,4,0
718745,4/2/2023,Minnesota Twins,142,3,False,0.274,0.345,0.377,0.722,7,Kansas City Royals,118,3,Brad Keller,641745,1,3.86,1.93,4.2,6,2
718745,4/2/2023,Kansas City Royals,118,3,True,0.133,0.25,0.244,0.494,4,Minnesota Twins,142,3,Joe Ryan,657746,1,1.5,0.83,6.0,6,1
718741,4/2/2023,New York Mets,121,4,False,0.223,0.333,0.354,0.687,5,Miami Marlins,146,4,Trevor Rogers,669432,1,6.23,1.38,4.1,4,4
718741,4/2/2023,Miami Marlins,146,4,True,0.228,0.29,0.386,0.676,1,New York Mets,121,4,Kodai Senga,673540,1,1.69,1.13,5.1,8,1
718743,4/2/2023,Atlanta Braves,144,3,False,0.262,0.345,0.408,0.753,1,Washington Nationals,120,3,MacKenzie Gore,669022,1,1.69,1.31,5.1,6,1
718743,4/2/2023,Washington Nationals,120,3,True,0.211,0.298,0.278,0.576,4,Atlanta Braves,144,3,Jared Shuster,694363,1,7.71,2.36,4.2,1,4
718737,4/2/2023,Toronto Blue Jays,141,3,False,0.299,0.381,0.355,0.736,4,St. Louis Cardinals,138,3,Jordan Montgomery,656756,1,5.4,1.4,5.0,3,3
718737,4/2/2023,St. Louis Cardinals,138,3,True,0.373,0.426,0.591,1.017,9,Toronto Blue Jays,141,3,Chris Bassitt,605135,1,24.3,3.0,3.1,0,9
718739,4/2/2023,Philadelphia Phillies,143,3,False,0.283,0.333,0.481,0.814,1,Texas Rangers,140,3,Martin Perez,527048,1,1.59,1.94,5.2,7,1
718739,4/2/2023,Texas Rangers,140,3,True,0.343,0.407,0.559,0.966,2,Philadelphia Phillies,143,3,Bailey Falter,663559,1,3.38,1.31,5.1,3,2
718748,4/2/2023,Baltimore Orioles,110,3,False,0.339,0.426,0.607,1.033,5,Boston Red Sox,111,3,Tanner Houck,656557,1,5.4,1.2,5.0,5,3
718748,4/2/2023,Boston Red Sox,111,3,True,0.327,0.395,0.564,0.959,9,Baltimore Orioles,110,3,Cole Irvin,608344,1,13.5,2.5,4.0,4,6
718733,4/2/2023,Colorado Rockies,115,4,False,0.255,0.305,0.44,0.745,1,San Diego Padres,135,4,Seth Lugo,607625,1,1.29,0.57,7.0,7,1
718733,4/2/2023,San Diego Padres,135,4,True,0.217,0.287,0.358,0.645,3,Colorado Rockies,115,4,Austin Gomber,596295,1,4.5,0.83,6.0,4,3
718747,4/2/2023,San Francisco Giants,137,3,False,0.194,0.282,0.286,0.568,0,New York Yankees,147,3,Jhony Brito,666745,1,0.0,0.6,5.0,6,0
718747,4/2/2023,New York Yankees,147,3,True,0.255,0.327,0.49,0.817,6,San Francisco Giants,137,3,Ross Stripling,548389,1,7.2,1.6,5.0,3,4
718735,4/2/2023,Cleveland Guardians,114,4,False,0.223,0.301,0.331,0.632,6,Seattle Mariners,136,4,Marco Gonzales,594835,1,7.2,1.6,5.0,1,4
718735,4/2/2023,Seattle Mariners,136,4,True,0.197,0.254,0.318,0.572,5,Cleveland Guardians,114,4,Cal Quantrill,615698,1,7.71,2.14,4.2,3,5
718738,4/2/2023,Milwaukee Brewers,158,3,False,0.235,0.328,0.286,0.614,9,Chicago Cubs,112,3,Jameson Taillon,592791,1,6.75,2.0,4.0,2,3
718738,4/2/2023,Chicago Cubs,112,3,True,0.213,0.286,0.33,0.616,5,Milwaukee Brewers,158,3,Eric Lauer,641778,1,3.38,1.31,5.1,6,2
718740,4/2/2023,Chicago White Sox,145,4,False,0.296,0.352,0.48,0.832,6,Houston Astros,117,4,Luis Garcia,677651,1,5.4,1.8,5.0,4,3
718740,4/2/2023,Houston Astros,117,4,True,0.227,0.349,0.289,0.638,3,Chicago White Sox,145,4,Mike Clevinger,605182,1,0.0,1.2,5.0,8,0
718736,4/2/2023,Arizona Diamondbacks,109,4,False,0.197,0.214,0.299,0.513,2,Los Angeles Dodgers,119,4,Noah Syndergaard,592789,1,1.5,0.67,6.0,6,1
718736,4/2/2023,Los Angeles Dodgers,119,4,True,0.23,0.353,0.437,0.79,1,Arizona Diamondbacks,109,4,Zach Davies,605200,1,1.8,1.2,5.0,4,1
718744,4/2/2023,Pittsburgh Pirates,134,3,False,0.196,0.282,0.289,0.571,1,Cincinnati Reds,113,3,Graham Ashcraft,668933,1,1.29,0.71,7.0,6,1
718744,4/2/2023,Cincinnati Reds,113,3,True,0.232,0.318,0.484,0.802,3,Pittsburgh Pirates,134,3,Vince Velasquez,592826,1,5.79,1.29,4.2,3,3
718729,4/3/2023,Minnesota Twins,142,4,False,0.275,0.346,0.458,0.804,11,Miami Marlins,146,5,Johnny Cueto,456501,1,36.0,4.0,1.0,0,4
718729,4/3/2023,Miami Marlins,146,5,True,0.252,0.303,0.387,0.69,1,Minnesota Twins,142,4,Tyler Mahle,641816,1,1.8,1.2,5.0,7,1
718730,4/3/2023,San Francisco Giants,137,4,False,0.239,0.335,0.464,0.799,12,Chicago White Sox,145,5,Michael Kopech,656629,1,13.5,2.36,4.2,5,7
718730,4/3/2023,Chicago White Sox,145,5,True,0.273,0.328,0.454,0.782,3,San Francisco Giants,137,4,Anthony DeSclafani,543101,1,0.0,0.5,6.0,4,0
718725,4/3/2023,Philadelphia Phillies,143,4,False,0.287,0.325,0.448,0.773,1,New York Yankees,147,4,Nestor Cortes,641482,1,1.8,1.4,5.0,3,1
718725,4/3/2023,New York Yankees,147,4,True,0.26,0.355,0.504,0.859,8,Philadelphia Phillies,143,4,Taijuan Walker,592836,1,8.31,1.62,4.1,5,4
718732,4/3/2023,Tampa Bay Rays,139,4,False,0.275,0.349,0.504,0.853,6,Washington Nationals,120,4,Trevor Williams,592866,1,5.4,1.4,5.0,3,4
718732,4/3/2023,Washington Nationals,120,4,True,0.189,0.268,0.262,0.53,2,Tampa Bay Rays,139,4,Drew Rasmussen,656876,1,0.0,0.33,6.0,7,0
718726,4/3/2023,Baltimore Orioles,110,4,False,0.298,0.389,0.553,0.942,2,Texas Rangers,140,4,Jon Gray,592351,1,2.84,0.95,6.1,7,2
