gamePk,Date,Away_Team_Name,Away_Team_ID,Away_Team_Games_Played,Away_Pitcher_Name,Away_Pitcher_ID,Away_Pitcher_Starts,Away_Pitcher_ERA,Away_Pitcher_WHIP,Away_Team_AVG,Away_Team_OBP,Away_Team_SLG,Away_Team_OPS,Away_Team_Runs,Home_Team_Name,Home_Team_ID,Home_Team_Games_Played,Home_Pitcher_Name,Home_Pitcher_ID,Home_Pitcher_Starts,Home_Pitcher_ERA,Home_Pitcher_WHIP,Home_Team_AVG,Home_Team_OBP,Home_Team_SLG,Home_Team_OPS,Home_Team_Runs,Home_Team_Win
718763,3/31/2023,Cleveland Guardians,114,2,Hunter Gaddis,683769,1,9.82,1.64,0.243,0.316,0.286,0.602,9,Seattle Mariners,136,2,Robbie Ray,592662,1,8.1,2.7,0.219,0.286,0.359,0.645,4,False
718771,3/31/2023,New York Mets,121,2,David Peterson,656849,1,1.8,1.8,0.197,0.301,0.279,0.58,1,Miami Marlins,146,2,Jesus Luzardo,666200,1,0.0,1.06,0.242,0.277,0.468,0.745,2,True
718765,3/31/2023,Arizona Diamondbacks,109,2,Merrill Kelly,518876,1,0.0,1.91,0.177,0.2,0.274,0.474,2,Los Angeles Dodgers,119,2,Dustin May,669160,1,0.0,0.57,0.262,0.388,0.4,0.788,1,False
718759,4/1/2023,Toronto Blue Jays,141,2,Kevin Gausman,592332,1,0.0,1.5,0.306,0.416,0.347,0.763,1,St. Louis Cardinals,138,2,Jack Flaherty,656427,1,0.0,1.4,0.338,0.402,0.446,0.848,4,True
718756,4/1/2023,Pittsburgh Pirates,134,2,Rich Hill,448179,1,5.4,1.0,0.203,0.316,0.281,0.597,2,Cincinnati Reds,113,2,Nick Lodolo,666157,1,3.6,1.8,0.206,0.306,0.46,0.766,6,True
718752,4/1/2023,Philadelphia Phillies,143,2,Zack Wheeler,554430,1,8.31,1.85,0.288,0.333,0.548,0.881,3,Texas Rangers,140,2,Nathan Eovaldi,543135,1,5.4,1.6,0.375,0.455,0.625,1.08,16,True
718758,4/1/2023,Milwaukee Brewers,158,2,Brandon Woodruff,605540,1,1.5,0.67,0.164,0.271,0.18,0.451,3,Chicago Cubs,112,2,Justin Steele,657006,1,0.0,0.67,0.18,0.254,0.246,0.5,1,False
718751,4/1/2023,Minnesota Twins,142,2,Sonny Gray,543243,1,0.0,1.4,0.235,0.293,0.279,0.572,2,Kansas City Royals,118,2,Jordan Lyles,543475,1,1.69,1.31,0.105,0.25,0.14,0.39,0,False
718757,4/1/2023,Los Angeles Angels,108,2,Patrick Sandoval,663776,1,1.8,0.8,0.239,0.329,0.313,0.642,13,Oakland Athletics,133,2,Shintaro Fujinami,660261,1,30.86,3.43,0.186,0.273,0.271,0.544,1,False
718762,4/1/2023,San Francisco Giants,137,2,Alex Cobb,502171,1,2.45,1.36,0.232,0.312,0.362,0.674,7,New York Yankees,147,2,Clarke Schmidt,657376,1,8.1,1.8,0.261,0.311,0.464,0.775,5,False
718746,4/1/2023,Cleveland Guardians,114,3,Aaron Civale,650644,1,0.0,0.43,0.216,0.289,0.304,0.593,2,Seattle Mariners,136,3,Logan Gilbert,669302,1,1.5,0.83,0.183,0.248,0.29,0.538,0,False
718750,4/1/2023,Colorado Rockies,115,3,Jose Urena,570632,1,15.43,3.86,0.291,0.345,0.5,0.845,4,San Diego Padres,135,3,Michael Wacha,608379,1,6.0,1.5,0.237,0.308,0.355,0.663,8,True
718749,4/1/2023,Arizona Diamondbacks,109,3,Madison Bumgarner,518516,1,11.25,2.0,0.17,0.186,0.287,0.473,1,Los Angeles Dodgers,119,3,Clayton Kershaw,477132,1,1.5,0.67,0.263,0.385,0.505,0.89,10,True
718753,4/1/2023,Atlanta Braves,144,2,Spencer Strider,675911,1,0.0,1.0,0.307,0.373,0.493,0.866,7,Washington Nationals,120,2,Josiah Gray,680686,1,9.0,1.8,0.206,0.282,0.286,0.568,1,False
718761,4/1/2023,Baltimore Orioles,110,2,Dean Kremer,665152,1,15.0,2.33,0.368,0.473,0.658,1.131,8,Boston Red Sox,111,2,Chris Sale,519242,1,21.0,3.0,0.306,0.378,0.597,0.975,9,True
718755,4/1/2023,New York Mets,121,3,Tylor Megill,656731,1,3.6,1.6,0.242,0.339,0.374,0.713,6,Miami Marlins,146,3,Edward Cabrera,665795,1,4.5,2.0,0.255,0.298,0.449,0.747,2,False
718754,4/1/2023,Detroit Tigers,116,2,Spencer Turnbull,605513,1,27.0,4.71,0.182,0.239,0.242,0.481,2,Tampa Bay Rays,139,2,Zach Eflin,621107,1,1.8,0.8,0.292,0.403,0.538,0.941,12,True
718760,4/1/2023,Chicago White Sox,145,3,Lucas Giolito,608337,1,3.6,1.2,0.286,0.333,0.42,0.753,4,Houston Astros,117,3,Jose Urquidy,664353,1,6.75,2.0,0.234,0.345,0.319,0.664,6,True
718743,4/2/2023,Atlanta Braves,144,3,Jared Shuster,694363,1,7.71,2.36,0.262,0.345,0.408,0.753,1,Washington Nationals,120,3,MacKenzie Gore,669022,1,1.69,1.31,0.211,0.298,0.278,0.576,4,True
718744,4/2/2023,Pittsburgh Pirates,134,3,Vince Velasquez,592826,1,5.79,1.29,0.196,0.282,0.289,0.571,1,Cincinnati Reds,113,3,Graham Ashcraft,668933,1,1.29,0.71,0.232,0.318,0.484,0.802,3,True
718742,4/2/2023,Detroit Tigers,116,3,Joey Wentz,666214,1,5.06,0.94,0.147,0.198,0.221,0.419,1,Tampa Bay Rays,139,3,Jeffrey Springs,605488,1,0.0,0.17,0.278,0.375,0.495,0.87,5,True
718745,4/2/2023,Minnesota Twins,142,3,Joe Ryan,657746,1,1.5,0.83,0.274,0.345,0.377,0.722,7,Kansas City Royals,118,3,Brad Keller,641745,1,3.86,1.93,0.133,0.25,0.244,0.494,4,False
718748,4/2/2023,Baltimore Orioles,110,3,Cole Irvin,608344,1,13.5,2.5,0.339,0.426,0.607,1.033,5,Boston Red Sox,111,3,Tanner Houck,656557,1,5.4,1.2,0.327,0.395,0.564,0.959,9,True
718736,4/2/2023,Arizona Diamondbacks,109,4,Zach Davies,605200,1,1.8,1.2,0.197,0.214,0.299,0.513,2,Los Angeles Dodgers,119,4,Noah Syndergaard,592789,1,1.5,0.67,0.23,0.353,0.437,0.79,1,False
718733,4/2/2023,Colorado Rockies,115,4,Austin Gomber,596295,1,4.5,0.83,0.255,0.305,0.44,0.745,1,San Diego Padres,135,4,Seth Lugo,607625,1,1.29,0.57,0.217,0.287,0.358,0.645,3,True
718737,4/2/2023,Toronto Blue Jays,141,3,Chris Bassitt,605135,1,24.3,3.0,0.299,0.381,0.355,0.736,4,St. Louis Cardinals,138,3,Jordan Montgomery,656756,1,5.4,1.4,0.373,0.426,0.591,1.017,9,True
718739,4/2/2023,Philadelphia Phillies,143,3,Bailey Falter,663559,1,3.38,1.31,0.283,0.333,0.481,0.814,1,Texas Rangers,140,3,Martin Perez,527048,1,1.59,1.94,0.343,0.407,0.559,0.966,2,True
718740,4/2/2023,Chicago White Sox,145,4,Mike Clevinger,605182,1,0.0,1.2,0.296,0.352,0.48,0.832,6,Houston Astros,117,4,Luis Garcia,677651,1,5.4,1.8,0.227,0.349,0.289,0.638,3,False
718738,4/2/2023,Milwaukee Brewers,158,3,Eric Lauer,641778,1,3.38,1.31,0.235,0.328,0.286,0.614,9,Chicago Cubs,112,3,Jameson Taillon,592791,1,6.75,2.0,0.213,0.286,0.33,0.616,5,False
718734,4/2/2023,Los Angeles Angels,108,3,Tyler Anderson,542881,1,0.0,1.0,0.26,0.336,0.404,0.74,6,Oakland Athletics,133,3,Ken Waldichuk,686610,1,9.53,1.76,0.178,0.267,0.244,0.511,0,False
718747,4/2/2023,San Francisco Giants,137,3,Ross Stripling,548389,1,7.2,1.6,0.194,0.282,0.286,0.568,0,New York Yankees,147,3,Jhony Brito,666745,1,0.0,0.6,0.255,0.327,0.49,0.817,6,True
718741,4/2/2023,New York Mets,121,4,Kodai Senga,673540,1,1.69,1.13,0.223,0.333,0.354,0.687,5,Miami Marlins,146,4,Trevor Rogers,669432,1,6.23,1.38,0.228,0.29,0.386,0.676,1,False
718735,4/2/2023,Cleveland Guardians,114,4,Cal Quantrill,615698,1,7.71,2.14,0.223,0.301,0.331,0.632,6,Seattle Mariners,136,4,Marco Gonzales,594835,1,7.2,1.6,0.197,0.254,0.318,0.572,5,False
718727,4/3/2023,Atlanta Braves,144,4,Charlie Morton,450203,1,5.06,2.06,0.268,0.353,0.464,0.817,8,St. Louis Cardinals,138,4,Jake Woodford,663765,1,12.46,2.31,0.356,0.409,0.537,0.946,4,False
718731,4/3/2023,New York Mets,121,5,Carlos Carrasco,471911,1,11.25,2.0,0.201,0.323,0.308,0.631,0,Milwaukee Brewers,158,4,Freddy Peralta,642547,1,0.0,0.83,0.25,0.354,0.333,0.687,10,True
718725,4/3/2023,Philadelphia Phillies,143,4,Taijuan Walker,592836,1,8.31,1.62,0.287,0.325,0.448,0.773,1,New York Yankees,147,4,Nestor Cortes,641482,1,1.8,1.4,0.26,0.355,0.504,0.859,8,True
718730,4/3/2023,San Francisco Giants,137,4,Anthony DeSclafani,543101,1,0.0,0.5,0.239,0.335,0.464,0.799,12,Chicago White Sox,145,5,Michael Kopech,656629,1,13.5,2.36,0.273,0.328,0.454,0.782,3,False
718726,4/3/2023,Baltimore Orioles,110,4,Kyle Bradish,680694,1,0.0,1.2,0.298,0.389,0.553,0.942,2,Texas Rangers,140,4,Jon Gray,592351,1,2.84,0.95,0.275,0.342,0.443,0.785,0,False
718721,4/3/2023,Cleveland Guardians,114,5,Zach Plesac,668676,1,54.0,8.0,0.258,0.329,0.385,0.714,12,Oakland Athletics,133,4,James Kaprielian,621076,1,9.0,1.8,0.226,0.299,0.361,0.66,11,False
718723,4/3/2023,Detroit Tigers,116,4,Matthew Boyd,571510,1,4.15,1.15,0.169,0.226,0.265,0.491,7,Houston Astros,117,5,Hunter Brown,686613,1,7.71,1.93,0.224,0.34,0.294,0.634,6,False
718724,4/3/2023,Pittsburgh Pirates,134,4,Johan Oviedo,670912,1,7.71,2.14,0.212,0.291,0.364,0.655,7,Boston Red Sox,111,4,Kutter Crawford,676710,1,15.75,2.5,0.311,0.391,0.554,0.945,6,False
718729,4/3/2023,Minnesota Twins,142,4,Tyler Mahle,641816,1,1.8,1.2,0.275,0.346,0.458,0.804,11,Miami Marlins,146,5,Johnny Cueto,456501,1,36.0,4.0,0.252,0.303,0.387,0.69,1,False
718728,4/3/2023,Chicago Cubs,112,4,Drew Smyly,592767,1,11.57,2.36,0.241,0.311,0.368,0.679,6,Cincinnati Reds,113,4,Connor Overton,656818,1,11.25,2.25,0.25,0.333,0.484,0.817,7,True
718720,4/3/2023,Los Angeles Angels,108,4,Reid Detmers,672282,1,3.86,1.5,0.27,0.356,0.433,0.789,7,Seattle Mariners,136,5,George Kirby,669923,1,8.31,2.31,0.188,0.256,0.303,0.559,3,False
718722,4/3/2023,Arizona Diamondbacks,109,5,Ryne Nelson,669194,1,5.4,1.8,0.211,0.229,0.335,0.564,4,San Diego Padres,135,5,Ryan Weathers,677960,1,3.6,1.2,0.225,0.302,0.411,0.713,5,True
718732,4/3/2023,Tampa Bay Rays,139,4,Drew Rasmussen,656876,1,0.0,0.33,0.275,0.349,0.504,0.853,6,Washington Nationals,120,4,Trevor Williams,592866,1,5.4,1.4,0.189,0.268,0.262,0.53,2,False
718718,4/3/2023,Colorado Rockies,115,5,Ryan Feltner,663372,1,9.64,1.93,0.243,0.296,0.405,0.701,4,Los Angeles Dodgers,119,5,Michael Grove,675627,1,6.75,1.0,0.259,0.372,0.512,0.884,13,True
718719,4/3/2023,Toronto Blue Jays,141,4,Jose Berrios,621244,1,12.71,1.94,0.294,0.381,0.371,0.752,5,Kansas City Royals,118,4,Brady Singer,663903,1,1.8,1.0,0.179,0.284,0.317,0.601,9,True
718705,4/4/2023,Detroit Tigers,116,5,Matt Manning,666159,1,3.18,1.41,0.202,0.25,0.306,0.556,6,Houston Astros,117,6,Framber Valdez,664285,1,1.5,1.25,0.235,0.342,0.309,0.651,3,False
718714,4/4/2023,Minnesota Twins,142,5,Kenta Maeda,628317,1,1.8,0.6,0.246,0.312,0.398,0.71,0,Miami Marlins,146,6,Sandy Alcantara,645261,1,1.84,0.75,0.233,0.282,0.365,0.647,1,True
718713,4/4/2023,Pittsburgh Pirates,134,5,Roansy Contreras,672710,1,1.59,0.71,0.2,0.281,0.364,0.645,4,Boston Red Sox,111,5,Nick Pivetta,601713,1,1.8,1.2,0.276,0.35,0.486,0.836,1,False
718706,4/4/2023,Los Angeles Angels,108,5,Jose Suarez,660761,1,12.46,1.85,0.259,0.34,0.402,0.742,2,Seattle Mariners,136,6,Luis Castillo,622491,1,0.0,0.43,0.218,0.272,0.391,0.663,11,True
718717,4/4/2023,Arizona Diamondbacks,109,6,Zac Gallen,668678,1,7.59,1.59,0.224,0.269,0.339,0.608,8,San Diego Padres,135,6,Yu Darvish,506433,1,1.8,1.4,0.234,0.303,0.447,0.75,6,False
718715,4/4/2023,Tampa Bay Rays,139,5,Josh Fleming,676596,1,15.0,3.67,0.277,0.349,0.548,0.897,10,Washington Nationals,120,5,Chad Kuhl,641771,1,7.2,1.0,0.241,0.309,0.315,0.624,6,False
718716,4/4/2023,Chicago Cubs,112,5,Hayden Wesneski,669713,1,5.79,1.71,0.273,0.343,0.398,0.741,12,Cincinnati Reds,113,5,Luis Cessa,570666,1,3.38,1.31,0.255,0.33,0.503,0.833,5,False
718703,4/4/2023,Colorado Rockies,115,6,German Marquez,608566,1,4.76,1.06,0.239,0.293,0.395,0.688,2,Los Angeles Dodgers,119,6,Julio Urias,628711,1,1.5,0.75,0.258,0.371,0.532,0.903,5,True
718708,4/4/2023,Toronto Blue Jays,141,5,Yusei Kikuchi,579328,1,1.8,0.8,0.294,0.372,0.383,0.755,4,Kansas City Royals,118,5,Kris Bubic,663460,1,3.6,1.6,0.17,0.262,0.301,0.563,1,False
718711,4/4/2023,Atlanta Braves,144,5,Dylan Dodd,689266,1,1.8,1.2,0.28,0.351,0.474,0.825,4,St. Louis Cardinals,138,5,Steven Matz,571927,1,6.75,2.06,0.344,0.392,0.497,0.889,1,False
718712,4/4/2023,New York Mets,121,6,Max Scherzer,453286,1,6.35,1.41,0.207,0.313,0.295,0.608,0,Milwaukee Brewers,158,5,Wade Miley,489119,1,0.0,0.83,0.275,0.364,0.437,0.801,9,True
718710,4/4/2023,Philadelphia Phillies,143,5,Matt Strahm,621381,1,0.0,0.4,0.283,0.317,0.45,0.767,4,New York Yankees,147,5,Domingo German,593334,1,7.71,0.86,0.236,0.326,0.453,0.779,1,False
718709,4/4/2023,Baltimore Orioles,110,5,Kyle Gibson,502043,1,4.5,1.08,0.284,0.373,0.54,0.913,7,Texas Rangers,140,5,Andrew Heaney,571760,1,23.63,3.38,0.264,0.324,0.442,0.766,2,False
718707,4/4/2023,Cleveland Guardians,114,6,Shane Bieber,669456,1,2.25,0.83,0.256,0.325,0.391,0.716,3,Oakland Athletics,133,5,JP Sears,676664,1,5.79,1.93,0.218,0.293,0.345,0.638,4,True
718699,4/5/2023,Philadelphia Phillies,143,6,Aaron Nola,605400,1,7.45,1.45,0.268,0.309,0.431,0.74,2,New York Yankees,147,6,Gerrit Cole,543037,1,0.73,0.89,0.245,0.33,0.458,0.788,4,True
718701,4/5/2023,Minnesota Twins,142,6,Pablo Lopez,641154,1,0.73,0.73,0.235,0.299,0.368,0.667,2,Miami Marlins,146,7,Jesus Luzardo,666200,1,0.71,0.95,0.234,0.28,0.376,0.656,5,True
718694,4/5/2023,Baltimore Orioles,110,6,Grayson Rodriguez,680570,1,3.6,1.0,0.254,0.343,0.478,0.821,2,Texas Rangers,140,6,Jacob deGrom,594798,1,5.59,1.03,0.265,0.319,0.439,0.758,5,True
718695,4/5/2023,San Francisco Giants,137,5,Logan Webb,657277,1,6.55,1.36,0.218,0.332,0.429,0.761,3,Chicago White Sox,145,6,Dylan Cease,656302,1,1.59,0.71,0.288,0.336,0.447,0.783,7,True
718700,9/1/2023,Chicago Cubs,112,134,Jordan Wicks,696136,1,1.8,1.1,0.253,0.329,0.417,0.746,6,Cincinnati Reds,113,136,Graham Ashcraft,668933,1,4.76,1.37,0.246,0.323,0.408,0.731,2,False
718697,4/5/2023,Atlanta Braves,144,6,Bryce Elder,693821,1,0.0,0.83,0.28,0.341,0.469,0.81,5,St. Louis Cardinals,138,6,Miles Mikolas,571945,1,9.64,2.14,0.324,0.38,0.484,0.864,2,False
718689,4/5/2023,Cleveland Guardians,114,7,Hunter Gaddis,683769,1,3.72,0.93,0.253,0.334,0.372,0.706,6,Oakland Athletics,133,6,Kyle Muller,666205,1,2.53,1.13,0.201,0.283,0.342,0.625,4,False
718691,4/5/2023,Los Angeles Angels,108,6,Shohei Ohtani,660271,1,0.75,1.0,0.243,0.332,0.383,0.715,4,Seattle Mariners,136,7,Chris Flexen,623167,1,3.0,1.22,0.222,0.286,0.376,0.662,3,False
718692,4/5/2023,Toronto Blue Jays,141,6,Alek Manoah,666201,1,4.35,1.55,0.292,0.363,0.384,0.747,3,Kansas City Royals,118,6,Zack Greinke,425844,1,2.38,1.41,0.155,0.254,0.265,0.519,0,False
718702,4/5/2023,Pittsburgh Pirates,134,6,Mitch Keller,656605,1,3.86,1.29,0.211,0.293,0.377,0.67,4,Boston Red Sox,111,6,Corey Kluber,446372,1,6.48,1.68,0.261,0.332,0.445,0.777,1,False
718696,4/5/2023,Detroit Tigers,116,6,Eduardo Rodriguez,593958,1,6.3,1.3,0.204,0.251,0.301,0.552,2,Houston Astros,117,7,Cristian Javier,664299,1,3.27,1.27,0.248,0.342,0.366,0.708,8,True
718698,4/5/2023,New York Mets,121,7,David Peterson,656849,1,6.0,2.11,0.208,0.311,0.323,0.634,6,Milwaukee Brewers,158,6,Corbin Burnes,669203,1,9.64,1.71,0.281,0.371,0.457,0.828,7,True
718704,4/5/2023,Tampa Bay Rays,139,6,Shane McClanahan,663556,1,1.5,1.17,0.284,0.348,0.542,0.89,7,Washington Nationals,120,6,Patrick Corbin,571578,1,8.0,2.22,0.233,0.312,0.306,0.618,2,False
718686,4/6/2023,Toronto Blue Jays,141,7,Kevin Gausman,592332,1,0.0,1.25,0.291,0.353,0.406,0.759,6,Kansas City Royals,118,7,Jordan Lyles,543475,1,4.91,1.36,0.167,0.259,0.278,0.537,3,False
718693,4/7/2023,Miami Marlins,146,8,Edward Cabrera,665795,1,5.4,2.25,0.229,0.281,0.369,0.65,3,New York Mets,121,8,Tylor Megill,656731,1,1.64,1.18,0.209,0.33,0.346,0.676,9,True
718683,4/6/2023,Los Angeles Dodgers,119,7,Dustin May,669160,1,0.69,0.62,0.252,0.369,0.514,0.883,5,Arizona Diamondbacks,109,7,Merrill Kelly,518876,1,1.93,1.82,0.214,0.263,0.335,0.598,2,False
718690,4/6/2023,Boston Red Sox,111,7,Chris Sale,519242,1,11.25,2.0,0.256,0.332,0.45,0.782,6,Detroit Tigers,116,7,Spencer Turnbull,605513,1,13.5,2.25,0.201,0.257,0.301,0.558,3,False
718687,4/6/2023,San Francisco Giants,137,6,Alex Wood,622072,1,3.0,2.67,0.263,0.368,0.512,0.88,16,Chicago White Sox,145,7,Lance Lynn,458681,1,9.0,1.9,0.287,0.341,0.434,0.775,6,False
718685,4/7/2023,Cincinnati Reds,113,6,Hunter Greene,668881,1,5.63,2.0,0.245,0.326,0.469,0.795,2,Philadelphia Phillies,143,7,Zack Wheeler,554430,1,5.59,1.66,0.272,0.318,0.449,0.767,5,True
718682,4/6/2023,Washington Nationals,120,7,Josiah Gray,680686,1,4.91,1.64,0.227,0.302,0.289,0.591,0,Colorado Rockies,115,7,Kyle Freeland,607536,1,0.0,0.79,0.244,0.293,0.387,0.68,1,True
718684,4/7/2023,Houston Astros,117,8,Jose Urquidy,664353,1,3.86,1.71,0.235,0.325,0.346,0.671,2,Minnesota Twins,142,7,Sonny Gray,543243,1,0.75,1.0,0.244,0.308,0.36,0.668,3,True
718681,4/6/2023,San Diego Padres,135,7,Blake Snell,605483,1,7.88,2.13,0.231,0.311,0.443,0.754,6,Atlanta Braves,144,7,Spencer Strider,675911,1,2.45,1.18,0.29,0.357,0.484,0.841,7,True
718688,4/7/2023,New York Yankees,147,7,Clarke Schmidt,657376,1,9.45,2.1,0.248,0.335,0.451,0.786,6,Baltimore Orioles,110,7,Dean Kremer,665152,1,10.13,1.88,0.259,0.35,0.469,0.819,7,True
718684,4/7/2023,Houston Astros,117,8,Jose Urquidy,664353,1,3.86,1.71,0.235,0.325,0.346,0.671,2,Minnesota Twins,142,7,Sonny Gray,543243,1,0.75,1.0,0.244,0.308,0.36,0.668,3,True
718693,4/7/2023,Miami Marlins,146,8,Edward Cabrera,665795,1,5.4,2.25,0.229,0.281,0.369,0.65,3,New York Mets,121,8,Tylor Megill,656731,1,1.64,1.18,0.209,0.33,0.346,0.676,9,True
718685,4/7/2023,Cincinnati Reds,113,6,Hunter Greene,668881,1,5.63,2.0,0.245,0.326,0.469,0.795,2,Philadelphia Phillies,143,7,Zack Wheeler,554430,1,5.59,1.66,0.272,0.318,0.449,0.767,5,True
718688,4/7/2023,New York Yankees,147,7,Clarke Schmidt,657376,1,9.45,2.1,0.248,0.335,0.451,0.786,6,Baltimore Orioles,110,7,Dean Kremer,665152,1,10.13,1.88,0.259,0.35,0.469,0.819,7,True
718678,4/7/2023,Oakland Athletics,133,7,Ken Waldichuk,686610,1,14.54,2.42,0.221,0.295,0.374,0.669,5,Tampa Bay Rays,139,7,Zach Eflin,621107,1,3.27,1.18,0.285,0.356,0.57,0.926,9,True
718677,4/7/2023,Seattle Mariners,136,8,Logan Gilbert,669302,1,3.6,1.3,0.229,0.294,0.384,0.678,5,Cleveland Guardians,114,8,Aaron Civale,650644,1,2.84,1.03,0.249,0.329,0.358,0.687,3,False
718671,4/7/2023,Los Angeles Dodgers,119,8,Clayton Kershaw,477132,1,3.75,1.08,0.242,0.367,0.5,0.867,3,Arizona Diamondbacks,109,8,Madison Bumgarner,518516,1,7.27,2.19,0.226,0.276,0.366,0.642,6,True
718680,4/7/2023,Kansas City Royals,118,8,Brad Keller,641745,1,2.61,1.45,0.18,0.263,0.3,0.563,3,San Francisco Giants,137,7,Alex Cobb,502171,1,2.53,1.13,0.251,0.358,0.478,0.836,1,False
718673,4/7/2023,Washington Nationals,120,8,MacKenzie Gore,669022,1,2.38,1.24,0.26,0.329,0.355,0.684,10,Colorado Rockies,115,8,Jose Urena,570632,1,14.4,3.8,0.248,0.296,0.387,0.683,5,False
718674,4/7/2023,St. Louis Cardinals,138,7,Jack Flaherty,656427,1,1.8,1.7,0.305,0.368,0.444,0.812,0,Milwaukee Brewers,158,7,Brandon Woodruff,605540,1,0.79,0.88,0.285,0.381,0.456,0.837,4,True
718675,4/7/2023,Texas Rangers,140,7,Nathan Eovaldi,543135,1,4.22,1.31,0.244,0.305,0.4,0.705,0,Chicago Cubs,112,6,Marcus Stroman,573186,1,0.0,0.92,0.265,0.333,0.377,0.71,2,True
