gamePk,Date,Away_Team_Name,Away_Team_ID,Away_Team_Games_Played,Away_Pitcher_Name,Away_Pitcher_ID,Away_Pitcher_Starts,Away_Pitcher_ERA,Away_Pitcher_WHIP,Away_Team_AVG,Away_Team_OBP,Away_Team_SLG,Away_Team_OPS,Away_Team_Runs,Home_Team_Name,Home_Team_ID,Home_Team_Games_Played,Home_Pitcher_Name,Home_Pitcher_ID,Home_Pitcher_Starts,Home_Pitcher_ERA,Home_Pitcher_WHIP,Home_Team_AVG,Home_Team_OBP,Home_Team_SLG,Home_Team_OPS,Home_Team_Runs,Home_Team_Win
718781,3/30/2023,San Francisco Giants,137,1,Logan Webb,657277,1,6.0,1.0,0.133,0.212,0.133,0.345,0,New York Yankees,147,1,Gerrit Cole,543037,1,0.0,0.83,0.25,0.294,0.438,0.732,5,True
718773,3/30/2023,Pittsburgh Pirates,134,1,Mitch Keller,656605,1,7.71,1.93,0.2,0.375,0.333,0.708,5,Cincinnati Reds,113,1,Hunter Greene,668881,1,8.1,2.4,0.212,0.333,0.394,0.727,4,False
718768,3/30/2023,Chicago White Sox,145,1,Dylan Cease,656302,1,1.42,0.32,0.289,0.325,0.421,0.746,3,Houston Astros,117,1,Framber Valdez,664285,1,0.0,1.2,0.133,0.212,0.233,0.445,2,False
718770,3/30/2023,Arizona Diamondbacks,109,1,Zac Gallen,668678,1,9.64,1.93,0.143,0.167,0.179,0.346,2,Los Angeles Dodgers,119,1,Julio Urias,628711,1,3.0,0.67,0.353,0.425,0.5,0.925,8,True
718777,3/30/2023,Milwaukee Brewers,158,1,Corbin Burnes,669203,1,7.2,1.4,0.138,0.265,0.138,0.403,0,Chicago Cubs,112,1,Marcus Stroman,573186,1,0.0,1.0,0.2,0.314,0.2,0.514,4,True
718782,3/30/2023,Baltimore Orioles,110,1,Kyle Gibson,502043,1,7.2,1.4,0.395,0.521,0.658,1.179,10,Boston Red Sox,111,1,Corey Kluber,446372,1,13.5,3.0,0.314,0.39,0.429,0.819,9,False
718780,3/30/2023,Atlanta Braves,144,1,Max Fried,608331,1,2.7,1.2,0.3,0.391,0.35,0.741,7,Washington Nationals,120,1,Patrick Corbin,571578,1,6.0,3.33,0.242,0.316,0.273,0.589,2,False
718775,3/30/2023,Minnesota Twins,142,1,Pablo Lopez,641154,1,0.0,0.94,0.297,0.366,0.351,0.717,2,Kansas City Royals,118,1,Zack Greinke,425844,1,3.38,1.5,0.074,0.242,0.111,0.353,0,False
718767,3/30/2023,Cleveland Guardians,114,1,Shane Bieber,669456,1,0.0,1.0,0.129,0.129,0.161,0.29,0,Seattle Mariners,136,1,Luis Castillo,622491,1,0.0,0.17,0.233,0.281,0.4,0.681,3,True
718769,3/30/2023,Los Angeles Angels,108,1,Shohei Ohtani,660271,1,0.0,0.83,0.161,0.257,0.161,0.418,1,Oakland Athletics,133,1,Kyle Muller,666205,1,1.8,1.0,0.207,0.303,0.276,0.579,2,True
718776,3/30/2023,Detroit Tigers,116,1,Eduardo Rodriguez,593958,1,5.06,0.94,0.188,0.257,0.25,0.507,0,Tampa Bay Rays,139,1,Shane McClanahan,663556,1,0.0,0.83,0.207,0.281,0.414,0.695,4,True
718774,3/30/2023,New York Mets,121,1,Max Scherzer,453286,1,4.5,1.0,0.25,0.35,0.281,0.631,5,Miami Marlins,146,1,Sandy Alcantara,645261,1,4.76,1.24,0.167,0.219,0.367,0.586,3,False
718778,3/30/2023,Colorado Rockies,115,1,German Marquez,608566,1,3.0,0.83,0.386,0.4,0.682,1.082,7,San Diego Padres,135,1,Blake Snell,605483,1,6.23,1.62,0.219,0.235,0.313,0.548,2,False
718779,3/30/2023,Philadelphia Phillies,143,1,Aaron Nola,605400,1,12.27,1.64,0.308,0.341,0.641,0.982,7,Texas Rangers,140,1,Jacob deGrom,594798,1,12.27,1.64,0.313,0.421,0.531,0.952,11,True
718772,3/30/2023,Toronto Blue Jays,141,1,Alek Manoah,666201,1,13.5,3.3,0.442,0.469,0.512,0.981,10,St. Louis Cardinals,138,1,Miles Mikolas,571945,1,13.5,3.0,0.366,0.447,0.561,1.008,9,False
718764,3/31/2023,Chicago White Sox,145,2,Lance Lynn,458681,1,3.18,1.24,0.293,0.329,0.413,0.742,3,Houston Astros,117,2,Cristian Javier,664299,1,5.4,1.8,0.19,0.319,0.31,0.629,6,True
718766,3/31/2023,Colorado Rockies,115,2,Kyle Freeland,607536,1,0.0,0.67,0.329,0.369,0.532,0.901,4,San Diego Padres,135,2,Nick Martinez,607259,1,5.14,1.14,0.197,0.227,0.279,0.506,1,False
