Date,Away Team,Away Line,Away Odds,Home Team,Home Line,Home Odds
2022-10-28,Utah Jazz,+9.0,-110,Denver Nuggets,-9.0,-110
2022-10-28,New Orleans Hornets,+6.0,-110,Phoenix Suns,-6.0,-110
2022-10-28,Houston Rockets,+6.5,-110,Portland Trail Blazers,-6.5,-110
2022-10-29,Miami Heat,-4.0,-110,Sacramento Kings,+4.0,-110
2022-10-29,Golden State Warriors,-8.5,-110,Charlotte Hornets,+8.5,-110
2022-10-29,Indiana Pacers,+10.5,-110,Brooklyn Nets,-10.5,-110
2022-10-29,Philadelphia 76ers,-1.0,-108,Chicago Bulls,+1.0,-112
2022-10-29,Atlanta Hawks,+5.0,-110,Milwaukee Bucks,-5.0,-110
2022-10-29,Memphis Grizzlies,-6.0,-110,Utah Jazz,+6.0,-110
2022-10-29,Oklahoma City Thunder,+10.5,-110,Dallas Mavericks,-10.5,-110
2022-10-30,New Orleans Hornets,+3.5,-110,Los Angeles Clippers,-3.5,-110
2022-10-30,Washington Wizards,+7.5,-110,Boston Celtics,-7.5,-110
2022-10-30,Golden State Warriors,-8.0,-110,Detroit Pistons,+8.0,-110
2022-10-30,New York Knicks,+4.5,-110,Cleveland Cavaliers,-4.5,-110
2022-10-30,Minnesota Timberwolves,-5.5,-110,San Antonio Spurs,+5.5,-110
2022-10-30,Orlando Magic,+9.0,-110,Dallas Mavericks,-9.0,-110
2022-10-30,Houston Rockets,+11.5,-110,Phoenix Suns,-11.5,-110
2022-10-30,Denver Nuggets,-3.5,-110,Los Angeles Lakers,+3.5,-110
2022-10-31,Philadelphia 76ers,-4.0,-110,Washington Wizards,+4.0,-110
2022-10-31,Sacramento Kings,-1.5,-108,Charlotte Hornets,+1.5,-113
2022-10-31,Indiana Pacers,+8.5,-110,Brooklyn Nets,-8.5,-110
2022-10-31,Atlanta Hawks,+3.5,-110,Toronto Raptors,-3.5,-110
2022-10-31,Detroit Pistons,+12.5,-110,Milwaukee Bucks,-12.5,-110
2022-10-31,Memphis Grizzlies,-3.5,-110,Utah Jazz,+3.5,-110
2022-10-31,Houston Rockets,+9.5,-110,Los Angeles Clippers,-9.5,-110
2022-11-01,Chicago Bulls,+2.5,-112,Brooklyn Nets,-2.5,-108
2022-11-01,Golden State Warriors,+1.0,-110,Miami Heat,-1.0,-110
2022-11-01,Orlando Magic,+3.5,-110,Oklahoma City Thunder,-3.5,-110
2022-11-01,Minnesota Timberwolves,+5.0,-110,Phoenix Suns,-5.0,-110
2022-11-02,Washington Wizards,+8.0,-108,Philadelphia 76ers,-8.0,-112
2022-11-02,Boston Celtics,-1.5,-115,Cleveland Cavaliers,+1.5,-105
2022-11-02,Atlanta Hawks,+1.5,-110,New York Knicks,-1.5,-110
2022-11-02,Sacramento Kings,+7.0,-108,Miami Heat,-7.0,-112
2022-11-02,Charlotte Hornets,+6.0,-110,Chicago Bulls,-6.0,-110
2022-11-02,Los Angeles Clippers,-5.5,-110,Houston Rockets,+5.5,-110
2022-11-02,Detroit Pistons,+10.5,-110,Milwaukee Bucks,-10.5,-110
2022-11-02,Toronto Raptors,-8.0,-110,San Antonio Spurs,+8.0,-110
2022-11-02,Utah Jazz,+6.0,-110,Dallas Mavericks,-6.0,-110
2022-11-02,Memphis Grizzlies,-2.0,-110,Portland Trail Blazers,+2.0,-110
2022-11-02,New Orleans Hornets,-2.0,-110,Los Angeles Lakers,+2.0,-110
2022-11-03,Golden State Warriors,-7.0,-110,Orlando Magic,+7.0,-110
2022-11-03,Denver Nuggets,-5.5,-110,Oklahoma City Thunder,+5.5,-110
2022-11-04,Miami Heat,-4.5,-112,Indiana Pacers,+4.5,-108
2022-11-04,New York Knicks,+3.0,-110,Philadelphia 76ers,-3.0,-110
2022-11-04,Brooklyn Nets,EVEN,-110,Washington Wizards,EVEN,-110
2022-11-04,Cleveland Cavaliers,-7.0,-110,Detroit Pistons,+7.0,-110
2022-11-04,Chicago Bulls,+6.5,-110,Boston Celtics,-6.5,-110
2022-11-04,Los Angeles Clippers,-3.5,-110,San Antonio Spurs,+3.5,-110
2022-11-04,Charlotte Hornets,+11.5,-110,Memphis Grizzlies,-11.5,-110
2022-11-04,Golden State Warriors,+4.0,-110,New Orleans Hornets,-4.0,-110
2022-11-04,Toronto Raptors,+4.0,-110,Dallas Mavericks,-4.0,-110
2022-11-04,Milwaukee Bucks,-3.5,-110,Minnesota Timberwolves,+3.5,-110
2022-11-04,Portland Trail Blazers,+7.5,-110,Phoenix Suns,-7.5,-110
