Game ID,Date,Offense Name,Offense ID,Offense Games Played,Offense Home,Offense AVG,Offense OBP,Offense SLG,Offense OPS,Offense Runs,Defense Name,Defense ID,Defense Games Played,Pitcher Name,Pitcher ID,Pitcher Starts,Pitcher ERA,Pitcher WHIP,Pitcher Innings,Pitcher Strikeouts,Pitcher Runs
661042,4/7/2022,Houston Astros,117,1,False,0.229,0.289,0.514,0.803,3,Los Angeles Angels,108,1,Shohei Ohtani,660271,1,1.93,1.07,4.2,9,1
661042,4/7/2022,Los Angeles Angels,108,1,True,0.138,0.194,0.207,0.401,1,Houston Astros,117,1,Framber Valdez,664285,1,0.0,0.45,6.2,6,0
661577,4/7/2022,Cincinnati Reds,113,1,False,0.286,0.316,0.371,0.687,6,Atlanta Braves,144,1,Max Fried,608331,1,7.94,1.59,5.2,5,5
661577,4/7/2022,Atlanta Braves,144,1,True,0.129,0.25,0.226,0.476,3,Cincinnati Reds,113,1,Tyler Mahle,641816,1,0.0,1.0,5.0,7,1
661333,4/8/2022,Boston Red Sox,111,1,False,0.231,0.302,0.359,0.661,5,New York Yankees,147,1,Gerrit Cole,543037,1,6.75,1.25,4.0,3,3
661333,4/8/2022,New York Yankees,147,1,True,0.231,0.326,0.487,0.813,6,Boston Red Sox,111,1,Nathan Eovaldi,543135,1,5.4,1.2,5.0,7,3
663178,4/7/2022,Milwaukee Brewers,158,1,False,0.303,0.375,0.424,0.799,4,Chicago Cubs,112,1,Kyle Hendricks,543294,1,1.69,1.5,5.1,7,1
663178,4/7/2022,Chicago Cubs,112,1,True,0.276,0.371,0.483,0.854,5,Milwaukee Brewers,158,1,Corbin Burnes,669203,1,5.4,1.4,5.0,4,3
662021,4/7/2022,Pittsburgh Pirates,134,1,False,0.2,0.25,0.2,0.45,0,St. Louis Cardinals,138,1,Adam Wainwright,425794,1,0.0,0.83,6.0,6,0
662021,4/7/2022,St. Louis Cardinals,138,1,True,0.258,0.39,0.613,1.003,9,Pittsburgh Pirates,134,1,JT Brubaker,664141,1,12.0,2.33,3.0,2,4
662571,4/7/2022,New York Mets,121,1,False,0.343,0.452,0.4,0.852,5,Washington Nationals,120,1,Patrick Corbin,571578,1,4.5,1.75,4.0,4,2
662571,4/7/2022,Washington Nationals,120,1,True,0.188,0.235,0.313,0.548,1,New York Mets,121,1,Tylor Megill,656731,1,0.0,0.6,5.0,6,0
663418,4/7/2022,San Diego Padres,135,1,False,0.138,0.306,0.172,0.478,2,Arizona Diamondbacks,109,1,Madison Bumgarner,518516,1,3.0,1.67,3.0,2,1
663418,4/7/2022,Arizona Diamondbacks,109,1,True,0.115,0.324,0.231,0.555,4,San Diego Padres,135,1,Yu Darvish,506433,1,0.0,0.67,6.0,3,0
661750,4/8/2022,Seattle Mariners,136,1,False,0.161,0.333,0.258,0.591,2,Minnesota Twins,142,1,Joe Ryan,657746,1,4.5,1.5,4.0,4,2
661750,4/8/2022,Minnesota Twins,142,1,True,0.138,0.265,0.241,0.506,1,Seattle Mariners,136,1,Robbie Ray,592662,1,1.29,1.0,7.0,5,1
662766,4/7/2022,Cleveland Guardians,114,1,False,0.212,0.297,0.242,0.539,1,Kansas City Royals,118,1,Zack Greinke,425844,1,1.59,1.06,5.2,1,1
