Date,Game,Away Team,Home Team,Away,Home,Draw
2023-04-05,New York Mets @ Milwaukee Brewers,New York Mets,Milwaukee Brewers,+380,+280,-162
2023-04-05,Baltimore Orioles @ Texas Rangers,Baltimore Orioles,Texas Rangers,+190,-245,-182
2023-04-05,San Francisco Giants @ Chicago White Sox,San Francisco Giants,Chicago White Sox,+110,-130,-177
2023-04-05,Detroit Tigers @ Houston Astros,Detroit Tigers,Houston Astros,+195,-220,-152
2023-04-05,Cleveland Guardians @ Oakland Athletics,Cleveland Guardians,Oakland Athletics,-124,EVEN,-148
2023-04-05,Los Angeles Angels @ Seattle Mariners,Los Angeles Angels,Seattle Mariners,+230,+163,-155
2023-04-05,Toronto Blue Jays @ Kansas City Royals,Toronto Blue Jays,Kansas City Royals,+260,+400,-152
2023-04-06,Boston Red Sox @ Detroit Tigers,Boston Red Sox,Detroit Tigers,+290,+116,-148
2023-04-06,San Francisco Giants @ Chicago White Sox,San Francisco Giants,Chicago White Sox,+105,-125,-157
2023-04-06,Toronto Blue Jays @ Kansas City Royals,Toronto Blue Jays,Kansas City Royals,-240,+188,-137
2023-04-06,Washington Nationals @ Colorado Rockies,Washington Nationals,Colorado Rockies,+275,-143,+102
2023-04-06,San Diego Padres @ Atlanta Braves,San Diego Padres,Atlanta Braves,+143,-177,-141
2023-04-06,Los Angeles Dodgers @ Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,-155,+390,-136
